Název;E-mail;Telefon;Kategorie
"CECHOSPOL, s.r.o.";cechospol.sk@gmail.com;"0907 371 306041 4376 337 | 0907 371 306";Ubytovanie
"Rekreas, s.r.o.";rekreas@rekreas.sk;"0904 388 8830903 219 299 | 0904 388 883 | 041 5002 710";Ubytovanie
"Šeli, s.r.o.";selepcova@gmail.com;"0903 064 572";Ubytovanie
"Veronika - Viera Kovalčíková";penzion@penzionjasna.sk;"0903 340 139";Ubytovanie
"Ltd, s.r.o.";info@kastielfricovce.sk;"051 7911 067";Ubytovanie
"Penzión High Tatras, s.r.o.";info@penzionhightatras.sk;"0905 726 330";Ubytovanie
"Karpatia, spol. s r.o.";karpatia@tatry.sk;"052 4422 5160903 661 025 | 052 4422 516";Ubytovanie
"Penzion Family - Július Viňanský";penzionfamily@gmail.com;"056 6885 6110905 310 4500907 996 400 | 056 6885 611";Ubytovanie
"APS Montana, s.r.o.";penzion@montanask.eu;"041 5695 3860902 444 966 | 041 5695 386";Ubytovanie
"Bandžuch Ján";info@penzionplejsy.sk;"053 4471 715";Ubytovanie
"JK Czajlik ranch - Katarína Czajliková";info@czajlikranch.sk;"0918 629 068";Ubytovanie
"HOREC - horské centrum s.r.o.";penzion.podbarancom@gmail.com;"0918 701 661";Ubytovanie
"KOP a.s.";penzion@penzionlaliky.com;"0911 860 119";Ubytovanie
"Kovalčíková Daniela";info@penzion-rohac.sk;"043 5395 323";Ubytovanie
"Vorčák František";penzionhrubjak@orava.sk;"0905 276 971";Ubytovanie
"Grygar Tomáš";villajozef@centrum.sk;"0908 844 1550911 524 685 | 0908 844 155";Ubytovanie
"AMALION s.r.o.";amalion@amalion.sk;"036 6316 793";Ubytovanie
"CHRYZOPAS, s.r.o.";info@dedovkapenzion.sk;"0903 804 9480903 80 49 49 | 0903 804 948";Ubytovanie
"Diofa, s.r.o.";info@vendiofa.sk;"031 7855 167";Ubytovanie
"Goral turist - Jaroslav Bekeš";goralturistinfo@gmail.com;"0948 887 994";Ubytovanie
"PULSE Podhájska s.r.o.";penzion.pulse@gmail.com;"0905 277 257";Ubytovanie
"Jančeková Helena";info@penzionzamlynom.sk;"044 4392 1000908 927 282 | 044 4392 100";Ubytovanie
"Penzión MARCO POLO, s.r.o.";info@penzionmarcopolo.sk;"043 4285 1510905 534 9360908 395 050 | 043 4285 151";Ubytovanie
"Reštaurácia Biely Dom - Lucia Molčanová";bielydom@gmail.com;"0905 657 862";Ubytovanie
"Villa Laura, s.r.o.";daniela.liskova@centrum.sk;"0918 472 780";Ubytovanie
"Penzión Dvorec s.r.o.";gabrielakuchova@gmail.com;"038 7605 678";Ubytovanie
"STEFANIE - Ing. Elvíra Štefanová";penzionstefanie@stefanie.sk;"0903 492 412";Ubytovanie
"M I S A N - Ing. Boris Pažický";pazicky@pazicky.com;"052 4467 715";Ubytovanie
"Villa Gloria, s.r.o.";rezervacie@villagloria.sk;"0903 722 855";Ubytovanie
"Veverková Klára";klara@boudavobrimdole.cz;"+420 728 465 454";Ubytovanie
"Krčmárek Peter, Mgr.";villaharmony@villaharmony.sk;"0905 390 2700903 675 068 | 0905 390 270";Ubytovanie
"Petrík Pavel, Ing.";info@pltnici.sk;"0905 314 282";Ubytovanie
"Tomajka Ladislav";zelenydom@orava.sk;"0905 752 131";Ubytovanie
"AGROSEV, spol. s r.o.";agrosev@agrosev.sk;"045 5456 142";Ubytovanie
"Pilarčík Miroslav";info@pensionfamily.eu;"0911 378 424";Ubytovanie
"SKICENTRUM KOŠUTKA, s.r.o.";penzion@kosutka.sk;"0905 773 344";Ubytovanie
"Hotes, s.r.o.";info@arbos.sk;"036 7491 1070911 685 4110911 141 253 | 036 7491 107";Ubytovanie
"Holotéch víška, s.r.o.";info@holotechviska.sk;"034 6244 516";Ubytovanie
"Ubytovací penzión - Pavol Pilarčík";monika120@gmail.com;"043 5395 022";Ubytovanie
"SULOV ROCKS VALLEY s. r. o.";recepcia@penzionstefanik.sk;"0948 922 3390905 264 653 | 0948 922 339";Ubytovanie
"Vikartovský mlyn, s.r.o.";info@vikartovskymlyn.sk;"0917 925 494";Ubytovanie
"Cingel Štefan";;"0903 209 593";Ubytovanie
"MS – PANORAMA s. r. o.";info@penzionpleso.sk;"0911 233 061";Ubytovanie
"VINOHRAD DAMASKUS - Ladislav Skalina";penzion@vinnydom.sk;"0915 175 855056 6283 180 | 0915 175 855";Ubytovanie
"Balog Jozef";;"0905 712 800";Ubytovanie
"Jakubovová Mária, Ing.";info@ecergov.sk;"0905 432 460";Ubytovanie
"Plynomont, s.r.o.";penzioniveta@penzioniveta.com;"035 6582 390";Ubytovanie
"Šikov, s. r. o.";info@holiday-liptov.sk;"0903 537 204";Ubytovanie
"Garnet Peers, s.r.o.";peter.urbanec@garnetpeers.com;"0903 473 3330903 287 486 | 0903 473 333";Ubytovanie
"Koma Tibor";penzion.koma@gmail.com;"0907 871 374";Ubytovanie
"IFK & D s.r.o.";kastiel@penzionhanus.sk;"0904 135 525";Ubytovanie
"MALINO, s.r.o.";info@penzion-malino.sk;"0948 009 007";Ubytovanie
"KORMOŠ - Margita Kormošová";gitakormos@gmail.com;"0905 513 732";Ubytovanie
"Hollá Ľubica, Mgr.";penziontajch@penziontajch.sk;"0905 153 160";Ubytovanie
"P.V. INVEST s.r.o.";recepcia@nadka.sk;"0917 741 694";Ubytovanie
"EKAPO s.r.o.";info@antolskymlyn.sk;"045 6931 311";Ubytovanie
"Vydavateľstvo Motýľ, s. r. o.";info@vydavatelstvomotyl.sk;"02 3810 4581";Ubytovanie
"Reštaurácia Slalom - František Kulanga";penzion@slalom.sk;"052 4467 216";Ubytovanie
"3 M, spol. s r.o.";recepcia@penzionmaria.eu;"0908 910 171";Ubytovanie
"Džubák Ján";penzion@stefani.sk;"053 3210 100053 3210 1070903 275 596 | 053 3210 100 | 053 4297 444";Ubytovanie
"Crystal Ski, spol. s r.o.";crystalski@crystalski.sk;"069 2062 278 | +421 905 742 352 | 00614360";Ubytovanie
"APETÍT - Agneša Maňaková";info@bonappetitzilina.sk;"0949 309 6060905 741 090 | 0949 309 606";Ubytovanie
"Siska Vladimír";penziondeny@gmail.com;"0903 619 0180903 906 106 | 0903 619 018 | 052 44 98 245";Ubytovanie
"LVIS-AB, s.r.o.";rezervacie@kralovdvor.sk;"0910 541 568";Ubytovanie
"Fontana for you, s.r.o.";fontana@penzionfontana.sk;"044 4392 858";Ubytovanie
"UNIM - LH, spol. s r.o.";info@sypka.sk;"0918 399 575";Ubytovanie
"Strachan Štefan";info@penzion-dinda.sk;"052 4286 391";Ubytovanie
"Agroefekt spol. s r.o.";recepcia@penzionzitava.sk;"035 6450 535";Ubytovanie
"PENZION KAMZIK - Jaroslav Vidiečan";kamzik@isternet.sk;"043 5395 263";Ubytovanie
"KRASUĽA - Pavel Krasuľa";krasula@slovanet.sk;"052 4498 237";Ubytovanie
"Ave International Trading, s.r.o.";info@ajda.sk;"044 5514 440";Ubytovanie
"Kršiak Jerguš";stanislav.krsiak@gmail.com;"0908 522 240";Ubytovanie
"BAĎO, s.r.o.";info@penzionbado.sk;"0903 714 695";Ubytovanie
"Gemgal, s.r.o. Rožňava";restauracia@konskydvor.sk;"058 7321 620";Ubytovanie
"Miškovičová Zuzana";info@sport-penzion.sk;"0911 516 333 | +421 32 776 3113";Ubytovanie
"Partners, spol. s r.o.";martinovdvor@centrum.sk;"041 5982 472 | +421 41 723 49 77";Ubytovanie
"Friends Group, s.r.o.";info@penzionjavorina.sk;"0905 835 089";Ubytovanie
"Zelinová Tatiana";penzionsonja@szm.sk;"052 4398 1080905 855 7190915 911 246 | 052 4398 108";Ubytovanie
"Obšatníková Anna";penzionanima@centrum.sk;"0908 315 244";Ubytovanie
"Cholevová Lívia, Mgr.";penzionkaren@zoznam.sk;"0905 978 661";Ubytovanie
"U Hromadov s. r. o.";info@uhromadov.sk;"041 5423 8770948 844 779 | 041 5423 877";Ubytovanie
"Bekeš Stanislav";;"052 4498 2430908 699 5340907 099 101 | 052 4498 243";Ubytovanie
"Penzión Tematín, s.r.o.";tematin@tematin.sk;"033 7970 479";Ubytovanie
"Danninger Peter";info@pension-danninger.sk;"0908 536 810";Ubytovanie
"AIRMOS, s.r.o.";info@penzionkormoran.sk;"043 5581 434";Ubytovanie
"Timea - Mária Šrobová";penziontimea@penziontimea.sk;"043 5395 291";Ubytovanie
"VIKTORIA SLOVAKIA, s.r.o.";info@vilaviktoria.sk;"0907 854 214";Ubytovanie
"Villa SONNE, s.r.o.";mickmirka@gmail.com;"0905 219 067";Ubytovanie
"Agropest, spol. s r.o.";agropestmail@gmail.com;"037 6597 2530911 727 118 | 037 6597 253";Ubytovanie
"MAHAJANA s.r.o.";penzionsvatopluk@korytnica.org;"0948 870 202";Ubytovanie
"Penzión Hradisko, s.r.o.";motorest.nemecka@gmail.com;"0949 700 730";Ubytovanie
"Hajdučiaková Janka";skerdova@azet.sk;"043 5395 063 | +421 903 897 700";Ubytovanie
"Tokaj Zlatá Putňa s.r.o.";tokaj@zlataputna.sk;"0918 625 8460907 666 113 | 0918 625 846";Ubytovanie
"LIOB s.r.o.";penzionstalica@gmail.com;"0917 921 370";Ubytovanie
"Penzión Nesvady a. s.";info@ubytovanienesvady.sk;"0905 806 8340915 985 779 | 0905 806 834";Ubytovanie
"Penzión Villa, s.r.o.";penzionvilla@penzionvilla.sk;"041 5494 693";Ubytovanie
"TBS, a.s.";recepcia@penzion-adam.sk;"032 7772 111";Ubytovanie
"REPASU POĽNOFARMA s.r.o.";repasu@gmail.com;"033 7424 6350949 021 307 | 033 7424 635";Ubytovanie
"Penzión Malá Fatra - Ján Ďurko";malafatra@nextra.sk;"0903 522 389";Ubytovanie
"Pálenica Jelšovce, s.r.o.";restauracia@palenicajelsovce.sk;"0917 564 227";Ubytovanie
"Monika - Monika Urbanová";info@penzionurban.sk;"0915 502 444";Ubytovanie
"RBV s.r.o.";recepcia@slnieckopenzion.sk;"0905 753 6420918 677 468 | 0905 753 642";Ubytovanie
"Benedigová Michaela, Mgr.";rezervacie@staraskola.sk;"0905 456 215";Ubytovanie
"PENZION ROJAS - M - Mária Mutišová";info@rojas.sk;"048 6195 2280907 601 943 | 048 6195 228";Ubytovanie
"penzión Vendelín - Elena Bírová";penzionvendelin@penzionvendelin.sk;"0911 343 818";Ubytovanie
"SHR - Anna Beníková";agro@penziongrunt.sk;"0905 749 859";Ubytovanie
"Penzión Váh, s.r.o.";laucek@penzionvah.sk;"052 7728 6850907 040 400 | 052 7728 685";Ubytovanie
"Vita Pružina, s.r.o.";penzion@podstrazovom.sk;"0911 240 346";Ubytovanie
"PENZIÓN LUCS - Michal Ďurica";lucs@penzionlucs.sk;"0907 818 957";Ubytovanie
"Deluks, s.r.o.";janka.knietlova@gmail.com;"0905 967 569";Ubytovanie
"Tábor Podvišňové, s.r.o.";mail@tabor-podvisnove.sk;"032 7717 777";Ubytovanie
"Jusko Peter";polana@polana.net;"0905 351 057";Ubytovanie
"Rusnák Peter";recepcia@penzion-rosnicka.sk;"043 5898 1490903 805 431 | 043 5898 149";Ubytovanie
"Chalupka Pavol";recepcia@chalupkapenzion.sk;"052 7781 1300904 501 124 | 052 7781 130";Ubytovanie
"RANČ Podlesok s.r.o.";info@rancpodlesok.sk;"0918 407 077";Ubytovanie
"JG TRADE s.r.o.";info@penzion-strba.sk;"0907 125 4360949 334 341 | 0907 125 436";Ubytovanie
"J.A.A.P, s.r.o.";info@zbojnickakoliba.eu;"0948 151 851";Ubytovanie
"CENTRUM - Klaudia Poláčková";info@penzionrosenthal.sk;"0918 945 016";Ubytovanie
"BOHEMA - Dušan Pirog";penzionslovakia@gmail.com;"052 4498 127";Ubytovanie
"Penzión Encián - Zdenka Uhnáková";info@encian.eu;"052 4467 520";Ubytovanie
"Penzión TOMI - Viera Bobriková";penziontomi@hradok.net;"0907 870 109";Ubytovanie
"Čajková Jolana, Mgr.";;"0903 279 416";Ubytovanie
"Ski - TMG Remata, Stredisko telesne postihnutých športovcov, s.r.o.";tmg@tmg.sk;"0911 243 868";Ubytovanie
"BOISE s. r. o.";info@penzionsivykamen.sk;"0948 724 653";Ubytovanie
"Penzión u Michala - Ing. Michal Borsík";penzion@michal.sk;"043 5395 314";Ubytovanie
"Veratín, s.r.o.";horec@horecliptov.sk;"0914 333 021";Ubytovanie
"COMITY, s.r.o.";recepcia@baskevilla.sk;"0903 767 853";Ubytovanie
"DURPEG, s.r.o.";admit@admit.sk;"0903 407 564";Ubytovanie
"Penzión Čierna Pani - František Padych";recepcia@penzion-cierna-pani.sk;"043 4131 523 | 043 4223 215";Ubytovanie
"Paula s.r.o.";info@penzionpaula.sk;"052 4683 713 | 052 772 41 94";Ubytovanie
"Sýkora Štefan";sykora@sn.psg.sk;"053 4541 755";Ubytovanie
"SPS TATRA, a.s.";krivan.penzion@gmail.com;"0907 080 3330907 499 423 | 0907 080 333";Ubytovanie
"M.K.M. Trading, spol. s r.o.";clubmkmmodra@gmail.com;"033 6472 009 | 033 6475 576";Ubytovanie
"Nagyová Viktória";mail@penzionopal.sk;"0905 743 982057 4456 825 | 0905 743 982";Ubytovanie
"Netta - Janette Bartkóová";penzion.dubky@gmail.com;"0918 185 317";Ubytovanie
"Orava Village, s.r.o.";info@oravavillage.sk;"0914 150 025";Ubytovanie
"ABC Mészáros - Alfréd Mészáros";penzionhostad@zoznam.sk;"0905 728 919";Ubytovanie
"A g f, spol. s r.o.";agf@agfpenzion.sk;"037 7883 343";Ubytovanie
"Kulkovský Vladimír";vlado.kulkovsky@orava.sk;"0903 847 558";Ubytovanie
"Šuštiak Jozef";penzionsustiak@penzionsustiak.sk;"041 5695 4380903 122 000 | 041 5695 438";Ubytovanie
"M&J Slovakia, s.r.o.";info@wellnesszrubovachata.sk;"0905 775 0300905 49 31 81 | 0905 775 030";Ubytovanie
"Banskobystrická diecézna spravovacia spol. s r. o., v skratke BBDS, spol. s r. o.";recepcia@penzionzornicka.sk;"048 4299 067";Ubytovanie
"Orestav, s.r.o.";info@julkindvor.sk;"0907 142 223";Ubytovanie
"Penzión Kohútik s.r.o.";info@penzionkohutik.sk;"0917 176 246";Ubytovanie
"RCS, spol. s.r.o.";maxim@maxim-penzion.sk;"046 5412 9730908 727 578 | 046 5412 973";Ubytovanie
"TRIOMAX, s.r.o.";info@penzionmax.sk;"0911 123 255";Ubytovanie
"Realcom IK s.r.o.";penzionmanin@penzionmanin.sk;"042 4399 031";Ubytovanie
"Roko - Róbert Kopera";penzioncentral@penzion-central.sk;"0905 477 501041 4382 974 | 0905 477 501 | 041 4382 974";Ubytovanie
"Šimko Ján";info@penzionpodskalicou.sk;"0908 336 424";Ubytovanie
"Selveková Andrea";penz.harmonia@gmail.com;"0911 151 634";Ubytovanie
"Jusko Rastislav";r_jusko@azet.sk;"0911 656 706";Ubytovanie
"Ihnát Pavol";juliana@sirava.sk;"056 6492 108";Ubytovanie
"Reštaurácia KLEOPATRA - Milan Kavecký";kleopatra@penzionkleopatra.sk;"041 5498 5770905 850 673 | 041 5498 577";Ubytovanie
"VINO TERROIR s.r.o.";info@uzlatejvcely.sk;"0905 990 333";Ubytovanie
"Domov Speváckeho zboru slovenských učiteľov";dszsu@dszsu.sk;"046 2333 735 | 00158232";Ubytovanie
"Mrázová Libuša";Mrazova.Libusa@azet.sk;"0907 903 313";Ubytovanie
"Juricová Marta";marta.juricova@azet.sk;"0908 125 531";Ubytovanie
"Macková Eva";mackoe@centrum.sk;"0903 286 7570904 867 043 | 0903 286 757";Ubytovanie
"Gondová Katarína";katarina@bsk.sk;"0902 669 974";Ubytovanie
"Flanderová Valéria";flanderova@zoznam.sk;"0905 913 158";Ubytovanie
"Chovaňák Jozef";info@privatsvist.com;"0904 113 666";Ubytovanie
"Pažická Anna";pazicka@post.sk;"0903 466 453";Ubytovanie
"Bartoníček Jan";bartonickovi@gmail.com;"0908 702 859035 6584 432 | 0908 702 859";Ubytovanie
"Fröhlich Vladimír";info@barstefan.sk;"0907 976 475";Ubytovanie
"Bednár Ján";janbednar@janbednar.sk;"0902 164 248";Ubytovanie
"Kantor Jozef";info@vilakantor.sk;"0905 605 4090911 650 409 | 0905 605 409";Ubytovanie
"Kacvinská Mária";info@slov-raj.sk;"0904 112 938";Ubytovanie
"Kuban Ján";jkuban55@gmail.com;"0949 331 846044 5621 458 | 0949 331 846";Ubytovanie
"RETOUR - Imrich Retteghy";retour@retour.sk;"0905 350 472";Ubytovanie
"Devečková Erika, Ing.";vilaviktoria@gmail.com;"0910 585 432";Ubytovanie
"veterinárny lekár - MVDr. Ján Hanuliak";privatanna@gmail.com;"041 5695 3910902 237 7320904 592 391 | 041 5695 391";Ubytovanie
"Mapak - Pavol Kuzmiak";mapak111@gmail.com;"0911 101 2220907 930 744 | 0911 101 222";Ubytovanie
"Klinger Banská Štiavnica s.r.o.";ubytovanie@klingerbs.sk;"0915 779 6200911 570 994 | 0915 779 620";Ubytovanie
"Rehák Branislav";rehakbranislav@post.sk;"0905 299 3640911 299 366 | 0905 299 364";Ubytovanie
"Fabro, s.r.o.";fabro@kredit.sk;"0905 866 394";Ubytovanie
"IVAKO s. r. o.";vysoketatry@privativa.sk;"052 4423 3480911 905 399 | 052 4423 348";Ubytovanie
"Penzion - Agneša Hudecová";hudec.julius@gmail.com;"043 5395 254";Ubytovanie
"Brisuda Anton";info@ubytovaniebarbora.sk;"0905 579 852";Ubytovanie
"MS-modelhobby - Branislav Milev";info@hillfort.sk;"0918 291 050";Ubytovanie
"villa Pšenek benessere s. r. o.";info@villapsenek.sk;"0911 034 3220911 322 034 | 0911 034 322";Ubytovanie
"Poláčková Mária";privat@podmachom.sk;"041 4382 8520907 046 707 | 041 4382 852";Ubytovanie
"Kovalčíková Helena";kovalcikova.helena@gmail.com;"0904 962 1000915 859 764 | 0904 962 100";Ubytovanie
"Párkányi, s.r.o.";korzo.penzion@gmail.com;"0908 133 666";Ubytovanie
"Szigeti Juraj";;"0918 645 426";Ubytovanie
"Novotná Zdenka";privat_domcek@szm.sk;"0904 116 144";Ubytovanie
"Duľa František";vilajulia@vilajulia.sk;"0905 664 672";Ubytovanie
"Chovancová Alžbeta";chovanecjan@centrum.sk;"0905 387 115";Ubytovanie
"Záň Vladimír";;"041 5695 1710902 137 614 | 041 5695 171";Ubytovanie
"Kolmačka Ľubomír";abubytovanie@gmail.com;"0905 268 370";Ubytovanie
"FinMedia, a.s.";rezervacie@centralapartment.sk;"0901 722 855";Ubytovanie
"Scheili Dionýz";info.florida@azet.sk;"0908 222 285";Ubytovanie
"Orságová Monika";info@privatmonika.sk;"0915 544 236";Ubytovanie
"Eximob - Anton Dybala";posta@dybala.sk;"0910 611 136";Ubytovanie
"Komanek Peter";komanek@centrum.sk;"0903 705 089";Ubytovanie
"Slováková Anna";info@villapsenek.sk;"0940 282 533";Ubytovanie
"Jelšíková Martina, Ing., PhD.";vilamartina@vilamartina.sk;"0908 996 5590905 856 810 | 0908 996 559";Ubytovanie
"Perrotová Monika";info@chalupamonika.sk;"0904 202 109";Ubytovanie
"ENERBO s.r.o.";rezervacia@vegetime.sk;"0905 033 085";Ubytovanie
"PENZION POD HRADOM - Lýdia Lukáčová";penzion32@gmail.com;"0905 394 654041 5970 280 | 0905 394 654";Ubytovanie
"Richterová Veronika";vrichterova@gmail.com;"0903 422 504";Ubytovanie
"J&O Consulting s.r.o.";mullerovdom@gmail.com;"0948 374 690";Ubytovanie
"Jurinová Daniela";danielaj@naex.sk;"043 5395 2270902 772 388 | 043 5395 227";Ubytovanie
"Pallová Viera";privatpallo@googlemail.com;"0905 921 285";Ubytovanie
"Starinská Beáta, Ing.";beatastarinska@gmail.com;"0907 948 631";Ubytovanie
"Babinský Miroslav, Ing.";ezathouse@gmail.com;"0918 962 403";Ubytovanie
"Dudašková Stanislava";villabutterfly@villabutterfly.sk;"0917 176 625";Ubytovanie
"Hrinová Mária, Ing.";info@zltydomterchova.sk;"0948 010 4230918 547 711 | 0948 010 423";Ubytovanie
"Mariolla spol. s r.o.";rezervacie@villabella.sk;"0948 022 177";Ubytovanie
"Poševková Mariana, Ing.";info@tatranska-lomnica-25.sk;"0918 487 884";Ubytovanie
"Búryová Katarína";jaroslavbury@zoznam.sk;"0903 179 884";Ubytovanie
"Pazderová Jaroslava";privatjasmin@privatjasmin.sk;"0903 907 227";Ubytovanie
"Vila Tatra s.r.o.";vilatatra@vilatatra.sk;"0908 024 793";Ubytovanie
"R.H.E.A., s. r. o.";vilarhea@vilarhea.sk;"0903 138 361";Ubytovanie
"Sedlárová Viera";vierasedlarova@gmail.com;"0905 973 631";Ubytovanie
"EUCA s.r.o.";info@horvatresidence.sk;"0918 280 595";Ubytovanie
"SRSW, s.r.o.";info@abahouse.sk;"0905 389 372";Ubytovanie
"KVETY - Anna Koleková";jozef.kolek45@gmail.com;"041 5493 7840908 562 046 | 041 5493 784";Ubytovanie
"Firma Gulik - Ing. Peter Gulik";gulikfirma@gulik.sk;"047 5631 296";Ubytovanie
"Gura Cyprián, Ing.";postmaster@privat-cyprian.sk;"0908 056 780";Ubytovanie
"Pluriel, s.r.o.";info@pluriel.sk;"0911 484 337";Ubytovanie
"CHALUPA IDA - Ida Csefová";idacsefo@zoznam.sk;"0907 047 280";Ubytovanie
"Milano - Milan Ivančák";milano@milano.sk;"053 4596 2660908 893 9450903 492 658 | 053 4596 266";Ubytovanie
"PRIVÁT EVA - Mgr. Rastislav Mikuláš";privateva22@zoznam.sk;"0910 492 504";Ubytovanie
"TELETANDEM GM, s.r.o.";info@chalupa-terchova.sk;"0903 804 485";Ubytovanie
"Hrušovská Jana";jana225@post.sk;"0907 823 935";Ubytovanie
"Hrivnáková Žaneta";ubytovaniezaneta@ubytovaniezaneta.sk;"0905 585 048";Ubytovanie
"Lukáčová Mária";privatuanicky@privatuanicky.sk;"0908 478 998";Ubytovanie
"Červeň Maroš, Ing.";objednavka@markado.eu;"0949 304 294";Ubytovanie
"KVALEPS - Jozef Púček";kvaleps@gmail.com;"0905 455 511";Ubytovanie
"MARIANNA - Mária Vasilcová";marianna.centrum@gmail.com;"053 4799 3490915 087 230 | 053 4799 349";Ubytovanie
"MODRÝ DOM - Jozef Mišuda";jmisuda@gmail.com;"0903 355 543";Ubytovanie
"Holenka Ladislav, Mgr.";turciansketeplice@ubytovanienadka.sk;"0918 471 424";Ubytovanie
"Ledos - Ján Lenko";privat@ledos.sk;"044 5295 2910905 669 701 | 044 5295 291";Ubytovanie
"Gavorník Ľuboš";penzionvilo@chello.sk;"0903 826 334";Ubytovanie
"Square, s.r.o.";square688@gmail.com;"0944 100 380";Ubytovanie
"HAGO PLUS s.r.o.";ubytovanie@penzionzemberovce.sk;"0949 221 620";Ubytovanie
"Kvetka - Kvetoslava Zarembová";kveta.zarembova@gmail.com;"0915 120 348";Ubytovanie
"Morihladková Viera";vieramorihladkova@gmail.com;"0908 988 486";Ubytovanie
"Bušík Miroslav";;"0904 274 7250902 550 407041 5494 136 | 0904 274 725";Ubytovanie
"Alman Miroslav, Ing.";alman@ta3.sk;"0902 296 117052 4467 537 | 0902 296 117";Ubytovanie
"Poradensko-podnikateľské služby - Mária Bédyová";bedyovci@bsk.sk;"043 5395 203";Ubytovanie
"Ženčuch Michal, Ing.";michal@zencuch.eu;"0911 346 6990919 284 783 | 0911 346 699";Ubytovanie
"Palenčík Róbert, Mgr.";;"0908 850 737";Ubytovanie
"Fischer trade, s.r.o.";;"0911 236 289";Ubytovanie
"Oravcová Mária";penzionjulia@gmail.com;"0911 918 273";Ubytovanie
"Štancel Ján";info@privathorec.sk;"0907 291 189";Ubytovanie
"Mrzkáň - Ing. Juraj Bobuľa";mrzkan@mrzkan.sk;"0905 319 127";Ubytovanie
"Niki - Monika Vrbičanová";naskle@naskle.sk;"0904 498 120";Ubytovanie
"Mačák Ľudovít";info@privatuludvika.sk;"0917 789 982";Ubytovanie
"Blahovec Štefan";stefan.blahovec.jo@gmail.com;"0903 387 533";Ubytovanie
"Ševečeková Mária";vazka@vilavazka.sk;"0908 086 531";Ubytovanie
"Sekerka Vladimír";terchova@nextra.sk;;Ubytovanie
"Mervartová Natália, Mgr.";mvtn@yahoo.com;"052 7754 9120905 851 4470907 409 279 | 052 7754 912";Ubytovanie
"Vrbická Elena";privat@privatnavrsku.sk;"0904 335 930";Ubytovanie
"Mitterová Jana, Mgr.";info@horicka.sk;"044 5520 808";Ubytovanie
"Skubík Vladimír";v.skubik@centrum.sk;"0917 041 438044 5541 647 | 0917 041 438";Ubytovanie
"Fantázia dp, s.r.o.";fantazia@fantazia.eu;"0948 027 6920949 749 790 | 0948 027 692";Ubytovanie
"OTO SYSTEM, s.r.o.";recepcia@ekorezort.sk;"0918 908 684";Ubytovanie
"GAZÁRKA, s.r.o.";info@gazarka.eu;"034 6592 348";Ubytovanie
"Rz Priedhorie - Ivan Krúpa";rz.priedhorie@pruzina.sk;"0905 461 150 | +421 42 435 88 54";Ubytovanie
"Chovanová Alica";chatapodlesom@r15.roburnet.sk;"0905 794 87002 6382 1185 | 0905 794 870 | 02 6382 1185";Ubytovanie
"Súkromná škola v prírode Planinka";planinka@marta.sk;"033 5575 2890918 184 558 | 033 5575 289";Ubytovanie
"Wera-tour, s.r.o.";hotel@zelenybreh.sk;"051 7798 508";Ubytovanie
"Kandráč Oto, MVDr.";camp@zlatekopyto.sk;"051 7743 449";Ubytovanie
"Zichová Monika";svp@sipkova.sk;"0911 420 417041 5650 225 | 0911 420 417";Ubytovanie
"PETAMAX s.r.o.";ubytovanie@jahodnaresort.sk;"0903 269 257055 6967 395 | 0903 269 257";Ubytovanie
"Rekreačné zariadenie Javorinka, s.r.o.";rzjavorinka@gmail.com;"0911 747 471032 7762 580 | 0911 747 471";Ubytovanie
"Škola v prírode Detský raj Tatranská Lesná";riaditel@svpdraj-tlesna.vucpo.sk;"052 4422 5530915 804 431 | 052 4422 553 | 00186759";Ubytovanie
"Bereczk Oskar, Ing.";info@relaxpark.sk;"0905 591 8870905 859 769 | 0905 591 887";Ubytovanie
"Ekoma rezort, s.r.o.";info@ekomarezort.sk;"045 5364 0310918 363 606 | 045 5364 031";Ubytovanie
"DIPO - Mgr. Ladislav Klein";kysak.brezie@gmail.com;"051 7714 834";Ubytovanie
"Chemako, spol. s r.o.";rzzlataidka@nextra.sk;"055 4669 117";Ubytovanie
"Fonicia International, s.r.o.";chataopatova@gmail.com;"032 7433 272";Ubytovanie
"MARGITA - ILONA, s.r.o.";margita-ilona@margita-ilona.sk;"036 6312 954";Ubytovanie
"Základná organizácia odborového zväzu Kovo Třinecké železiarne";recepcia@chatatrinec.sk;"0905 963 068 | 044 5586 288";Ubytovanie
"CLASS R&E Resort s.r.o.";chata@zaruby.sk;"033 5586 6920905 820 330 | 033 5586 692";Ubytovanie
